vdc_idx,ring_idx,B_g,r_pi,mu_sigma_left,mu_sigma_right,fsr_local,frac_shift,delta_wn_cm_inv,success,note
5,24,7350.0,906.815337303887,896.6258674088689,904.251171603149,56425.7675475002,0.1216840801270549,0.07502101117574284,True,ok
6,0,9300.0,58.70293821703051,54.20388738535954,60.61284587923349,10953.767987500003,0.033589157572750376,0.02070848185742933,True,ok
6,1,9300.0,65.77558137570887,60.53805054326546,68.96197491574247,10073.375837500003,0.05414760842335789,0.03338323577272373,True,ok
6,2,9300.0,119.99917892557642,102.08181625692454,121.3282753112658,14333.050987500004,0.14999783310070383,0.09247708575875697,True,ok
6,3,9300.0,169.50768103632504,167.95654479955508,186.91723607467458,51703.47454250001,0.06506963275030732,0.04011691291634236,True,ok
6,4,9300.0,176.1088146510915,169.12895404725745,194.02617731974337,49422.01387500001,0.09147294575107169,0.05639515767636972,True,ok
6,5,9300.0,283.6129906630028,265.69562799435096,301.5303533316546,53267.726857499976,0.1907945809230457,0.1176292114198802,True,ok
6,6,9300.0,365.6556513036719,377.7977976347036,383.5730139647661,52632.332725000044,0.04177167262713401,0.02575318904262269,True,ok
6,7,9300.0,431.66698745133675,413.7496247826849,449.5843501199886,53433.1338675,0.2894958018157451,0.17848076560773432,True,ok
6,8,9300.0,489.6626613524994,471.74529868385184,507.5800240211511,50936.02158749997,0.34448954650600333,0.2123856636905076,True,ok
6,9,9300.0,539.171163463248,521.2538007945963,557.0885261318998,52515.39174750005,0.36791214745950457,0.2268262314793493,True,ok
6,10,9300.0,585.8506083105253,567.9332456418736,603.7679709777516,53896.45135249995,0.38952092595731574,0.24014853634853003,True,ok
6,11,9300.0,630.1725054382431,612.8441313238231,622.256660099288,53383.778550000105,0.10888533985076426,0.0671302958389422,True,ok
6,12,9300.0,671.1938357585777,654.7561726136441,663.5377349282988,65518.07237499993,0.08834722755462668,0.054468081106428284,True,ok
6,13,9300.0,718.3447901497668,729.2560578059323,735.5043506539951,53478.93204500002,0.0855687617004439,0.052755093526784154,True,ok
6,14,9300.0,754.6510250309825,738.8071778935391,741.110805849744,47196.578162499936,0.03611681792378457,0.022266842123171746,True,ok
6,15,9300.0,785.2991453852554,771.2141274652225,803.2165080539072,58340.65314000007,0.43182177175371805,0.26622797272115784,True,ok
6,16,9300.0,821.6053802664711,806.0341383572816,836.0479313772653,57744.387547499966,0.4267523949604434,0.26310258628880606,True,ok
6,17,9300.0,856.0255769720392,866.6075738805575,872.98854514606,48401.55933750002,0.11466895902761008,0.07069602899359437,True,ok
6,18,9300.0,883.8446400628408,,,49089.865927500185,,,False,frac_shift=0.502 out of range
6,19,9300.0,906.4770981706116,896.509275605755,902.8729770898918,55619.44103999995,0.10293821097351348,0.06346375522411435,True,ok
6,20,9300.0,911.1921936097306,897.9581184004272,921.009603969579,47048.95685249986,0.4455987019480239,0.27472176445624163,True,ok
